stop,pagerank
Krishnarajendra Market,0.12734561872766006
Kempegowda Bus Station,0.09305769584628615
Shivajinagar Bus Station,0.04072557821684876
Banashankari Bus Station,0.005967494833379554
Kadugodi,0.005903776881907635
ITPL,0.005082610194935846
Kengeri TTMC,0.004718754731157791
BANASHANKARI TTMC,0.004534942850692851
Yelahanka,0.00449040692828279
Central Silk Board,0.004355089110132378
Electronic City Wipro Gate,0.004061166793749912
Hebbala,0.0035041263644750996
Vidyaranyapura,0.0034998896359554558
Vidhana Soudha,0.003442010110595945
Hosakote Bus Stand,0.0034241392592154634
Yeshwanthpur TTMC,0.003292593207475373
Jayanagara 9th Block,0.003267985799418145
Manyatha Embasy Business Park,0.0032657564768803528
KR Puram,0.003190978423160677
Nelamangala,0.0031846731180749
Bagmane Teck Park,0.003161683758367592
Attibele,0.002989103285644757
Adithi School,0.0029479204985506896
Peenya 2nd stage,0.0028620738138596213
Chandapura,0.002795560522976569
Yelahanka Satelite Town 5th Phase,0.0027610453790334506
Vinayakanagara Cross D-43,0.0025703081755857333
Hebbala Bridge,0.002414104095695912
Electronic City,0.0023766749123427544
MCTC Bus Stand,0.002349442630907946
Srinagara,0.002319926125733963
Kaval Byrasandra,0.002231118218907616
Jalahalli Cross,0.002224429219662304
Shanthinagar TTMC,0.0022003992966770527
Outer Ring Road Company Association,0.002111870060019986
Jayanagara Bus Stand,0.0020902329844314253
Jeevan Bhimanagara Bus stand,0.0020498534670188666
HAL Main Gate,0.002034706110555878
JFWTC,0.0019995665946379404
Koramangala,0.0019825767006788494
Marathahalli Bridge,0.001967041862581984
Yeshwanthpura TTMC,0.0019584211441302417
Kamalanagar BEML layout,0.001939713348362151
BEML Layout 5th Stage,0.0018747769894907427
BMT14,0.0018459579128599875
Depot 10,0.0018226067836583028
Chandra Layout,0.0018184905592029544
Kempegowda International Airport,0.001803040921870557
Uttarahalli,0.0017712266334697269
Bidadi,0.0017508234039829373
Vijayanagara TTMC,0.0017439586768407574
Bannerghatta National Park,0.0017340697477560708
Ramakrishna Hegde Nagara,0.0017066779311258448
Infosys,0.001685916742270595
Chowdeshwari Bus Stand JP Park,0.0016821953188653602
Depot-13-BS,0.0016814892181717838
ISRO Layout,0.001664923549762818
HAL/LCA,0.0016641720223920281
Yeshwanthpura,0.0016620139816185596
Depot 30,0.001653864975857445
Sulthan Palya,0.001653661061089553
Sarjapura Bus Stand,0.0016266832505837045
Domlur TTMC Bus Stand,0.001596212273699746
JPNagara 6th Phase,0.0015879760195083557
Vijayanagara,0.0015820695215996803
Vidyaniketan School,0.0015762822704742177
Nandhini Layout Bus Station,0.0015198089591483797
Ganjoor,0.0014960781879142357
Devanahalli,0.001487174592338899
Boopa Sandra,0.0014869225673885017
Gottigere,0.001466803120657816
Depot 11,0.001428488854399016
Basaveshwara Nagara,0.0014270715580066541
KR Market,0.0014243620515230824
Hampinagara RPC Layout,0.0014078192602434948
Chikkabanavara,0.0013905401275832994
Anekal,0.0013802983076391488
Tin Factory,0.0013634215330213075
Maratahalli Bridge,0.0013504922580539864
Depot-25,0.0013385384108378963
BTM Layout Bus Stop,0.0013347867157898958
BTM Layout,0.0013079942806366368
BEML,0.0013077724533481553
JP Nagara 3rd Phase,0.0012604613752509335
Shirke KHB Quarters,0.0012603399518693191
Hesaraghatta Village,0.0012221892540105576
Chikkallasandra Bus Stand,0.001218433819412295
CV Raman Nagara,0.0012124471993518124
Yeshwanathapura new railway station,0.0011968775075819368
Malleshwaram 18th Cross,0.0011756518708681192
Oasis School,0.0011700032861057474
Yeshawanthapura TTMC,0.0011214492267391117
Thindlu,0.0010971772350497273
Avalahalli BDA Park,0.0010861576296220948
Christel House Learning School,0.0010846068139843464
Jagajeevanram Nagara,0.0010807344192704353
Domlur,0.0010654319966979053
NRColony,0.0010645564557331777
LCA,0.0010603519002849778
Chennamma kere Achukattu,0.0010593893244453501
Kengeri Satelite Town,0.001058829708629939
St. Clare School,0.0010544982972245363
K R Puram,0.0010497436350887126
Vivekanagara,0.0010415430415209473
BAGMANE TECH PARK,0.0010341698346275786
GKW Layout,0.001015518557480117
Anjanapura,0.0009929158419465852
BMTC Depot-21,0.0009910088536261618
White Field TTMC,0.0009903195538469927
Saraswathi Nagara Vijayanagara,0.0009789014357120035
Out Door Clothing Company,0.0009615602871024048
JP Nagara 6th Phase,0.0009577976504835089
KR Puram Railway Station,0.0009573465196339561
Kengeri KSRTC Regional Workshop,0.0009412299702895053
AMD Private Limited,0.0009384868125375804
Bagaluru,0.0009377037144129928
Kodigehalli Yelahanka road,0.0009345834514657704
Banashankari 3rd Stage 2nd Phase,0.0009232446052406646
Shanthi Nagara Bus Station,0.0009196809432109687
C V Ramanagra,0.0009178208604188101
JP Nagar 6th Phase,0.0009146396778172947
Kalyananagara Bus Stand,0.0009117703323839821
Doddaballapura,0.000903704690717023
City Railway Station,0.0008988729782704802
Kaggalipura,0.0008957274829486001
Kottige Palya Magadi Road,0.0008900092735654225
Madanayakanahalli,0.0008814500418001909
Laggere,0.0008773144056355962
Vishwanatha Nagenahalli,0.0008731276336589757
Rajarajeshwarinagara Gate,0.0008704345022747857
Peenya Satellite Bus Station,0.0008695896018132929
BEL Circle,0.0008684563827443462
Jigani,0.0008678700327689996
